Monit_MAP_CODE1,LAKE_NAME,Year,phosphorus_avg,phosphorus_count,secchi_avg,secchi_count,mean_FIN_SQ_FT,median_FIN_SQ_FT,mean_acres,median_acres,mean_EMV_TOTAL,median_EMV_TOTAL,mean_total_tax,median_total_tax,pct_garage,pct_basement
10021600-01,McKnight Lake,2011,0.16471428571428573,14,0.5785714285714285,14,1369.320930232558,1369.320930232558,2.651767441860464,2.651767441860464,283575.81395348837,283575.81395348837,3770.9116279069767,3770.9116279069767,0.7407407407407407,
02058500-01,Lochness Lake,2010,0.029111111111111105,9,2.8000000000000003,7,2502.676884838442,2502.676884838442,0.0,0.0,295411.8475559238,295411.8475559238,6293.313173156586,6293.313173156586,0.7109783845278725,0.7682704241804775
82008700-01,Regional Park Lake,2008,0.07614285714285715,7,2.199142857142857,7,0.0,0.0,4.651850989522698,4.651850989522698,343624.4470314319,343624.4470314319,325809.77881257277,325809.77881257277,,
10000900-02,Minnewashta Lake,2014,0.020624999999999998,8,2.5749999999999997,8,1307.3838862559242,1307.3838862559242,1.343475513428115,1.343475513428115,318415.3238546603,318415.3238546603,4535.8562401263825,4535.8562401263825,0.8184019370460048,
70005400-01,Spring Lake,2008,0.07683333333333332,6,0.9499999999999998,6,945.9321533923304,945.9321533923304,0.9841592920353971,0.9841592920353971,282379.94100294984,282379.94100294984,0.0,0.0,,
13005300-01,Big Comfort Lake,2012,0.04192857142857144,14,1.515384615384615,13,,,,,,,,,,
82009200-01,Powers Lake,2010,0.23937037037037037,27,2.46,14,1704.0846645367412,1704.0846645367412,0.6780191693290738,0.6780191693290738,381583.70607028756,381583.70607028756,0.0,0.0,1.0,1.0
82004900-01,Big Carnelian Lake,2010,0.014285714285714285,7,4.371428571428572,7,998.0087209302326,998.0087209302326,2.2165988372093017,2.2165988372093017,341303.1976744186,341303.1976744186,0.0,0.0,1.0,1.0
82003300-01,Mays Lake,2014,0.01772727272727273,11,3.0072727272727278,11,0.0,0.0,86.058,86.058,1034120.0,1034120.0,0.0,0.0,,
10000200-02,Riley Lake,2009,0.118,1,1.7,1,976.8306306306306,976.8306306306306,1.2012072072072075,1.2012072072072075,624010.4504504504,624010.4504504504,8098.165765765766,8098.165765765766,0.768595041322314,
19019800-01,Scout Lake,2010,0.07092857142857142,14,0.7714285714285714,14,2488.6353877475476,2488.6353877475476,0.6956653710901461,0.6956653710901461,321438.73773829354,321438.73773829354,3862.194706644457,3862.194706644457,,
82001502-01,Loon Lake,2007,0.1575714285714286,7,0.5444285714285715,7,0.0,0.0,0.0,0.0,464426.6666666667,464426.6666666667,0.0,0.0,,
82011700-01,Kramer Pond,2013,0.8234285714285715,7,0.58,6,799.5307692307692,799.5307692307692,7.168384615384613,7.168384615384613,443916.92307692306,443916.92307692306,0.0,0.0,1.0,1.0
82005600-01,German Lake,2006,0.033857142857142856,7,2.1029999999999998,5,1058.6490683229813,1058.6490683229813,5.55795031055901,5.55795031055901,295283.22981366457,295283.22981366457,2549.7080745341614,2549.7080745341614,,
82010200-01,Acorn Lake,2009,0.043333333333333335,6,0.9141666666666666,6,1024.879307062631,1024.879307062631,0.46887873596040386,0.46887873596040386,198286.17932609937,198286.17932609937,166738.02817437655,166738.02817437655,0.8702359346642469,0.9173728813559322
70002600-01,Lower Prior Lake,2010,0.024999999999999998,14,2.7357142857142853,14,1211.1037649219468,1211.1037649219468,0.6066299357208441,0.6066299357208441,328333.2415059688,328333.2415059688,0.0,0.0,,
10008400-01,Burandt Lake,2014,0.041,12,1.8416666666666668,12,2127.0976226605967,2127.0976226605967,0.5746889226100138,0.5746889226100138,374727.5670207385,374727.5670207385,5201.167931208903,5201.167931208903,0.8231301751051988,
70009100-02,Cedar Lake,2009,0.15521428571428572,14,1.242857142857143,14,1004.594982078853,1004.594982078853,8.203620071684586,8.203620071684586,323800.7168458781,323800.7168458781,0.0,0.0,,
62018700-01,Lake Forest,2008,0.17266666666666666,12,0.6,12,1463.015037593985,1463.015037593985,0.021097744360902396,0.02109559613319026,271002.84640171856,271002.84640171856,2925.6463480128896,2925.6463480128896,0.9981024667931688,0.8588131480255902
10000700-01,Lucy Lake,2013,0.0553,10,1.5700000000000003,10,2094.8951612903224,2094.8951612903224,0.9600733137829913,0.9600733137829913,411777.05278592376,411777.05278592376,5318.445014662757,5318.445014662757,0.9158088235294117,1.0
02000400-01,Peltier Lake,2007,0.21474999999999994,16,0.7133333333333333,15,1204.3528481012659,1204.3528481012659,3.0218670886075945,3.0218670886075945,232334.57278481012,232334.57278481012,2577.3022151898736,2577.3022151898736,,0.7992700729927007
82005202-01,Jellums Lake,2005,0.11171428571428572,14,1.0342857142857143,14,0.0,0.0,7.475076923076923,7.475076923076923,457998.46153846156,457998.46153846156,1896.0615384615385,1896.0615384615385,,
10001400-01,Hazeltine Lake,2010,0.14514285714285716,14,0.3785714285714286,14,2584.7046714172607,2584.7046714172607,1.6976801266825021,1.6976801266825021,414615.28107680124,414615.28107680124,6083.01187648456,6083.01187648456,0.7126279863481229,
82001502-01,Loon Lake,2012,0.0652,5,0.86,5,1050.9753086419753,1050.9753086419753,12.679506172839506,12.679506172839506,392516.04938271607,392516.04938271607,0.0,0.0,1.0,1.0
82000400-01,Edith Lake,2005,0.02366666666666667,6,2.7416666666666667,6,0.0,0.0,6.6723076923076885,6.6723076923076885,377571.7948717949,377571.7948717949,2084.6609686609686,2084.6609686609686,,
02065400-01,Cenaiko Lake,2012,0.026642857142857145,14,1.7571428571428573,14,974.9036485339869,974.9036485339869,0.8921353822947268,0.8921353822947268,191446.0073536344,191446.0073536344,3122.734326388234,3122.734326388234,0.8957967694916262,0.8693738554952293
70002600-01,Lower Prior Lake,2013,0.01890909090909091,11,3.436363636363636,11,1211.294642857143,1211.294642857143,0.6580078124999998,0.6580078124999998,326533.2589285714,326533.2589285714,0.0,0.0,,
82011301-01,Goose Lake,2010,0.17822857142857143,35,0.5938235294117649,34,1871.6198347107438,1871.6198347107438,4.259586776859504,4.259586776859504,540119.8347107437,540119.8347107437,0.0,0.0,1.0,1.0
10022500-01,Brickyard Clayhole Lake,2005,0.019714285714285715,14,4.507142857142857,14,2080.183070866142,2080.183070866142,0.8447375328083965,0.8447375328083965,326018.50393700786,326018.50393700786,2784.009186351706,2784.009186351706,0.8468028419182948,
82002300-01,Lily Lake,2006,0.05742857142857143,7,1.7273333333333334,6,1087.35377838021,1087.35377838021,0.3316011521518134,0.3316011521518134,282123.9240935276,282123.9240935276,3250.2968485259235,3250.2968485259235,,
02065400-01,Cenaiko Lake,2004,0.019214285714285715,14,2.415714285714286,14,0.0,0.0,0.2519200235224924,0.2519200235224924,175074.91855336665,175074.91855336665,2016.9702048417132,2016.9702048417132,,
27017100-01,Sylvan Lake,2013,0.2654615384615385,13,0.5761538461538461,13,1454.702380952381,1454.702380952381,23.99857142857143,23.99857142857143,273716.6666666667,273716.6666666667,4643.452380952381,4643.452380952381,1.0,1.0
27069300-01,Hidden Lake,2011,0.04188888888888889,9,1.6777777777777778,9,2.8172541743970316,2.8172541743970316,2.1796706864564035,2.1796706864564035,369214.0074211503,369214.0074211503,7474.378478664193,7474.378478664193,1.0,1.0
82031800-01,July Lake,2008,0.05985714285714285,7,1.5238571428571426,7,0.0,0.0,6.613371428571423,6.613371428571423,379660.85714285716,379660.85714285716,359588.85714285716,359588.85714285716,,
70012001-01,Thole Lake,2010,0.1105,14,0.7357142857142857,7,1318.2750716332378,1318.2750716332378,8.075959885386812,8.075959885386812,441062.7507163324,441062.7507163324,0.0,0.0,,
10021600-01,McKnight Lake,2006,0.1480714285714286,14,0.4307692307692308,13,1708.3387622149837,1708.3387622149837,2.95130293159609,2.95130293159609,405939.7394136808,405939.7394136808,5651.452768729641,5651.452768729641,0.6840731070496083,
10000200-01,Riley Lake,2008,0.03525000000000001,12,1.8416666666666668,12,287.1287988422576,287.1287988422576,1.0221273516642564,1.0221273516642564,576261.7945007236,576261.7945007236,7224.493487698987,7224.493487698987,0.7297297297297297,
82013500-01,Echo Lake,2007,0.071375,8,0.6666666666666666,6,179.85365853658536,179.85365853658536,0.0,0.0,516047.64227642276,516047.64227642276,257.8731707317073,257.8731707317073,1.0,1.0
10006600-01,Winkler Lake,2008,0.30446153846153845,13,0.6944444444444444,9,1119.578431372549,1119.578431372549,41.81833333333333,41.81833333333333,355487.2549019608,355487.2549019608,1555.862745098039,1555.862745098039,0.5384615384615384,
27007000-01,Mitchell Lake,2013,0.03915384615384614,13,1.5666666666666667,12,432.4862264975951,432.4862264975951,0.7450065588106628,0.7450065588106628,312234.19326628774,312234.19326628774,5114.398775688675,5114.398775688675,1.0,1.0
82011602-01,Armstrong Lake,2005,0.055785714285714286,14,1.055785714285714,14,0.0,0.0,0.679964323938633,0.679964323938633,316167.3742418837,316167.3742418837,4347.616839100963,4347.616839100963,,
62003600-01,Priebe Lake,2010,0.130125,8,0.56875,8,1284.4317389138016,1284.4317389138016,0.3823741903338302,0.3823741903338302,262991.50473343296,262991.50473343296,2518.210264075735,2518.210264075735,0.9866767219708397,0.9536108324974925
70009100-02,Cedar Lake,2011,0.15892857142857147,14,1.0214285714285716,14,1093.209219858156,1093.209219858156,0.0,0.0,293309.57446808513,293309.57446808513,0.0,0.0,,
82000900-01,Cloverdale Lake,2007,0.0318,10,3.011111111111111,9,0.0,0.0,0.0,0.0,692829.7202797203,692829.7202797203,0.0,0.0,,
82011700-01,Kramer Pond,2009,0.6609999999999999,7,0.35914285714285715,7,799.8062015503876,799.8062015503876,6.589263565891471,6.589263565891471,551241.8604651163,551241.8604651163,467825.5813953488,467825.5813953488,,
82006700-01,Sand Lake,2011,0.055285714285714285,7,1.8714285714285714,7,893.1754385964912,893.1754385964912,12.98640350877193,12.98640350877193,242151.75438596492,242151.75438596492,0.0,0.0,1.0,1.0
82015100-01,South School Section Lake,2012,0.05207692307692308,13,2.295692307692308,13,1152.878048780488,1152.878048780488,13.162439024390245,13.162439024390245,292785.3658536585,292785.3658536585,0.0,0.0,1.0,1.0
82007200-01,White Rock Lake,2009,0.09200000000000001,15,0.9133333333333333,15,626.1275167785235,626.1275167785235,4.758098434004485,4.758098434004485,190853.35570469798,190853.35570469798,184146.19686800896,184146.19686800896,,
82010600-01,Elmo Lake,2012,0.020300000000000002,10,5.51,10,1630.5,1630.5,16.47916666666667,16.47916666666667,547513.8888888889,547513.8888888889,0.0,0.0,1.0,1.0
19034800-01,Valley Lake,2009,0.05414285714285716,14,2.2857142857142856,14,1675.7317994505495,1675.7317994505495,0.25699862637361665,0.25699862637361665,209206.14697802198,209206.14697802198,2517.8320741758243,2517.8320741758243,,
82009002-01,Wilmes Lake,2005,0.0875,10,0.9600000000000002,10,0.0,0.0,0.2111024815305909,0.2111024815305909,308801.06080697104,308801.06080697104,3337.0151543853003,3337.0151543853003,,
10021600-01,McKnight Lake,2009,0.20291666666666666,12,0.3958333333333333,12,1518.1889250814331,1518.1889250814331,2.964267100977197,2.964267100977197,404532.2475570033,404532.2475570033,5988.609120521172,5988.609120521172,0.7447916666666666,
82015100-01,South School Section Lake,2008,0.05265384615384616,26,2.0138571428571432,14,0.0,0.0,11.764042553191489,11.764042553191489,367479.78723404254,367479.78723404254,321234.0425531915,321234.0425531915,,
19002400-01,Wood Lake,2004,0.048142857142857154,14,1.437857142857143,14,5121.361505954667,5121.361505954667,0.4163196311947751,0.4163196311947751,320471.64809834806,320471.64809834806,4266.656165962351,4266.656165962351,,
10012100-01,Eagle Lake,2004,0.21526086956521745,23,1.0363636363636364,11,841.4454545454546,841.4454545454546,41.19745454545455,41.19745454545455,262028.18181818182,262028.18181818182,1389.1090909090908,1389.1090909090908,0.5012165450121655,
19044600-01,Lac Lavon Lake,2006,0.022666666666666665,12,3.0749999999999993,12,2306.4752136752136,2306.4752136752136,0.46435470085469305,0.46435470085469305,320160.8333333333,320160.8333333333,3167.623076923077,3167.623076923077,,
27008800-01,Minnetoga Lake,2013,0.03511111111111112,9,2.3222222222222224,9,1366.7429609445958,1366.7429609445958,0.7255313351498628,0.7255313351498628,281739.96366939147,281739.96366939147,4941.504087193461,4941.504087193461,1.0,1.0
82009002-01,Wilmes Lake,2009,0.0720909090909091,11,1.4272727272727275,11,1746.120333522835,1746.120333522835,0.398809929884396,0.398809929884396,302091.0176236498,302091.0176236498,302091.0176236498,302091.0176236498,,
82001100-01,Bay Pond,2009,0.3655714285714286,7,0.41900000000000004,6,1406.260731319555,1406.260731319555,6.29220985691573,6.29220985691573,343334.9761526232,343334.9761526232,330468.99841017486,330468.99841017486,,
10022500-01,Brickyard Clayhole Lake,2007,0.021,13,3.3299999999999996,10,2151.600374064838,2151.600374064838,0.7989214463840374,0.7989214463840374,349788.7157107232,349788.7157107232,3381.218204488778,3381.218204488778,0.8164983164983165,
27017500-01,Henry Lake,2005,0.07809090909090909,11,0.8090909090909091,11,0.0,0.0,0.0,0.0,195366.66666666666,195366.66666666666,2256.95,2256.95,,
27014702-01,Peter Lake,2010,0.033999999999999996,6,3.0,6,1199.8725761772853,1199.8725761772853,11.153739612188362,11.153739612188362,534477.2853185595,534477.2853185595,9485.490304709141,9485.490304709141,1.0,1.0
10001100-01,St. Joe Lake,2013,0.013333333333333334,3,2.483333333333334,3,1961.9004975124378,1961.9004975124378,0.7134328358208964,0.7134328358208964,355415.17412935325,355415.17412935325,4459.0298507462685,4459.0298507462685,0.8820445609436435,
62007100-01,Valentine Lake,2004,0.054166666666666675,12,1.4712499999999997,12,1674.2064323111445,1674.2064323111445,1.4266716529543668,1.4266716529543668,659338.818249813,659338.818249813,0.0,0.0,0.9891891891891892,0.9668674698795181
19009500-01,Seidl Lake,2004,0.07,14,1.2192142857142858,14,1592.4786973870512,1592.4786973870512,0.25521688763031575,0.25521688763031575,168140.00514866778,168140.00514866778,1675.0298622731368,1675.0298622731368,,
19003000-01,Kingsley Lake,2011,0.016583333333333335,12,,0,3032.2198581560283,3032.2198581560283,2.07531914893617,2.07531914893617,347720.8037825059,347720.8037825059,6472.737588652482,6472.737588652482,,
82010400-01,Jane Lake,2005,0.013923076923076925,13,5.346153846153846,13,0.0,0.0,1.454992711370263,1.454992711370263,340203.9358600583,340203.9358600583,2536.262390670554,2536.262390670554,,
82011301-01,Goose Lake,2008,0.14509615384615387,52,0.8399487179487182,39,0.0,0.0,4.468278688524589,4.468278688524589,599557.3770491803,599557.3770491803,545904.9180327869,545904.9180327869,,
82010700-01,Sunfish Lake,2008,0.0507,20,1.1935999999999996,20,0.0,0.0,2.662177914110424,2.662177914110424,349540.490797546,349540.490797546,315284.9693251534,315284.9693251534,,
82005204-01,Big Marine Lake,2011,0.03773913043478261,46,4.393913043478261,23,366.27272727272725,366.27272727272725,10.227363636363634,10.227363636363634,300924.54545454547,300924.54545454547,0.0,0.0,1.0,1.0
19002100-01,Alimagnet Lake,2012,0.0689090909090909,11,1.4045454545454545,11,2241.586956521739,2241.586956521739,0.5305824972129233,0.5305824972129233,235855.8807134894,235855.8807134894,2855.141304347826,2855.141304347826,,
10022600-01,Fireman's Clayhole Lake,2010,0.02721428571428571,14,2.785714285714285,14,1870.5599415204679,1870.5599415204679,1.4824707602339189,1.4824707602339189,318498.3918128655,318498.3918128655,4724.5716374269,4724.5716374269,0.6,
10005200-01,Reitz Lake,2011,0.07045454545454545,11,1.2545454545454544,11,1302.2259615384614,1302.2259615384614,8.887956730769222,8.887956730769222,303070.4326923077,303070.4326923077,5499.798076923077,5499.798076923077,0.49582947173308617,
10009300-01,Oak Lake,2008,0.10892857142857144,14,0.7346153846153846,13,1298.3416666666667,1298.3416666666667,20.57275,20.57275,408685.8333333333,408685.8333333333,2808.05,2808.05,0.5977011494252874,
19002000-01,Chub Lake,2010,0.15889473684210528,19,0.396,10,1432.9947643979058,1432.9947643979058,18.739502617801058,18.739502617801058,280868.32460732985,280868.32460732985,2251.698952879581,2251.698952879581,,
82033400-01,Kismet Lake,2012,0.033846153846153845,13,1.5950000000000002,2,1265.7530864197531,1265.7530864197531,13.475925925925923,13.475925925925923,337024.6913580247,337024.6913580247,0.0,0.0,1.0,1.0
19008000-01,Rogers Lake,2011,0.046,9,1.5111111111111113,9,3852.4024590163935,3852.4024590163935,1.1634098360655736,1.1634098360655736,424262.9918032787,424262.9918032787,7183.015163934426,7183.015163934426,,
19002100-01,Alimagnet Lake,2007,0.124,10,0.507,10,2189.4450519409515,2189.4450519409515,0.5201612903225733,0.5201612903225733,300568.50738108257,300568.50738108257,2882.1793329688353,2882.1793329688353,,
10000200-01,Riley Lake,2006,0.060399999999999995,10,2.29,10,273.71014492753625,273.71014492753625,0.09362318840579709,0.09362318840579709,502825.0724637681,502825.0724637681,6248.51884057971,6248.51884057971,0.3684210526315789,
10012700-01,Campbell Lake,2005,0.3252857142857143,14,0.3357142857142858,14,1422.0526315789473,1422.0526315789473,45.06298245614035,45.06298245614035,317656.1403508772,317656.1403508772,1536.8245614035088,1536.8245614035088,0.5244122965641953,
82010900-01,Eagle Point Lake,2014,0.0415,6,1.1433333333333333,6,1963.7,1963.7,15.724,15.724,614358.0,614358.0,0.0,0.0,1.0,1.0
27005300-01,Cobblecrest Lake,2009,0.1738,10,0.285,10,902.8175196115054,902.8175196115054,1.1608367575644298,1.1608367575644298,289350.8031378409,289350.8031378409,3991.256443780351,3991.256443780351,1.0,1.0
27000400-01,Penn Lake,2013,0.11815384615384614,13,0.7153846153846154,13,0.0,0.0,0.8457136139195951,0.8457136139195951,307989.11356689397,307989.11356689397,7966.0364448624505,7966.0364448624505,1.0,1.0
82036800-01,Klawitter Pond,2005,0.15515384615384614,13,0.7346153846153848,13,0.0,0.0,1.9852651515151516,1.9852651515151516,356896.2121212121,356896.2121212121,2650.3522727272725,2650.3522727272725,,
82009002-01,Wilmes Lake,2008,0.07872727272727272,11,1.1090909090909091,11,0.0,0.0,0.4000512723129418,0.4000512723129418,317718.8378275731,317718.8378275731,317690.99886061525,317690.99886061525,,
10022500-01,Brickyard Clayhole Lake,2013,0.01715384615384616,13,3.775,4,1775.841818181818,1775.841818181818,0.7680818181818175,0.7680818181818175,310226.0,310226.0,3584.6136363636365,3584.6136363636365,0.8447304907481898,
62005800-01,Little Johanna Lake,2006,0.071,3,1.4000000000000001,3,1419.9037940379403,1419.9037940379403,0.0,0.0,598662.6016260163,598662.6016260163,4722.382113821138,4722.382113821138,1.0,0.9856733524355301
27004201-01,Twin Lake,2004,0.15660000000000002,30,0.6900000000000001,30,0.0,0.0,0.0,0.0,234726.12433862433,234726.12433862433,4960.775352733686,4960.775352733686,,
62005800-01,Little Johanna Lake,2008,0.043285714285714295,14,1.4857142857142858,14,1480.4108843537415,1480.4108843537415,0.0,0.0,643360.8163265307,643360.8163265307,5587.412244897959,5587.412244897959,1.0,0.9860335195530726
10000600-01,Lotus Lake,2006,0.06236363636363637,11,1.229090909090909,11,1064.3842696629213,1064.3842696629213,0.3212459425717836,0.3212459425717836,358657.00374531833,358657.00374531833,4670.111360799001,4670.111360799001,0.8653773227152066,
27012900-01,DuBay Lake,2012,0.04185714285714286,14,1.9909090909090907,11,1167.8947368421052,1167.8947368421052,16.306507177033485,16.306507177033485,297704.3062200957,297704.3062200957,6616.703349282297,6616.703349282297,1.0,1.0
82013300-01,Sunnybrook Lake,2014,0.028800000000000003,5,2.56,5,1130.8838028169014,1130.8838028169014,5.681830985915492,5.681830985915492,270395.77464788733,270395.77464788733,0.0,0.0,1.0,1.0
70001800-01,Cates Lake,2004,0.023600000000000003,15,1.94,15,1414.281284606866,1414.281284606866,1.372076411960137,1.372076411960137,275693.18936877075,275693.18936877075,0.0,0.0,,
82031300-01,Goetschel Lake,2009,0.03685714285714286,7,1.1175,6,1625.5590163934426,1625.5590163934426,4.335032786885242,4.335032786885242,395522.131147541,395522.131147541,380811.9672131148,380811.9672131148,,
19002400-01,Wood Lake,2007,0.06076923076923076,13,1.8169230769230775,13,5280.082223962412,5280.082223962412,0.42947924823805744,0.42947924823805744,389605.1292090838,389605.1292090838,5244.157791699296,5244.157791699296,,
13004200-01,Birch Lake,2005,0.10371428571428573,14,1.5132142857142856,14,0.0,0.0,4.6813483146067405,4.6813483146067405,234406.7415730337,234406.7415730337,1498.123595505618,1498.123595505618,,
82013300-01,Sunnybrook Lake,2004,0.027599999999999996,10,2.2300000000000004,10,0.0,0.0,2.7544521739130423,2.7544521739130423,238208.0,238208.0,1645.8504347826088,1645.8504347826088,,
82012300-01,Bass Lake,2011,0.04947619047619047,42,2.32025641025641,39,1665.5963855421687,1665.5963855421687,7.240481927710842,7.240481927710842,324863.2530120482,324863.2530120482,0.0,0.0,1.0,1.0
19003200-01,Horseshoe Lake,2012,0.048,18,1.4711666666666667,6,2446.1276901004303,2446.1276901004303,1.4264490674318462,1.4264490674318462,258533.78766140604,258533.78766140604,3559.634863701578,3559.634863701578,,
27017100-01,Sylvan Lake,2008,0.42650000000000005,10,1.925,10,0.0,0.0,18.63178571428571,18.63178571428571,376662.85714285716,376662.85714285716,4404.571428571428,4404.571428571428,,
82000200-01,O'Connors Lake,2014,0.014333333333333332,6,2.5999999999999996,5,998.0714285714286,998.0714285714286,9.573367346938774,9.573367346938774,367390.8163265306,367390.8163265306,0.0,0.0,1.0,1.0
19034900-01,East Lake,2007,0.20885714285714285,14,0.3666666666666667,6,1387.290585618977,1387.290585618977,1.3584469977761298,1.3584469977761298,228107.52409191994,228107.52409191994,2035.3995552260933,2035.3995552260933,,
19003100-01,Orchard Lake,2010,0.025142857142857144,14,2.957142857142857,14,2493.8668390433095,2493.8668390433095,1.2659663865546211,1.2659663865546211,322949.5151906917,322949.5151906917,3991.367808661926,3991.367808661926,,
19045600-01,Cobblestone Lake,2009,0.03561538461538461,13,1.0583333333333333,12,1936.4970379146919,1936.4970379146919,0.5899881516587705,0.5899881516587705,245647.8672985782,245647.8672985782,3425.1224328594,3425.1224328594,,
10000600-01,Lotus Lake,2007,0.04744444444444444,9,1.468888888888889,9,1059.341152982281,1059.341152982281,0.5649688045919584,0.5649688045919584,386505.41552283504,386505.41552283504,5107.677065136012,5107.677065136012,0.8705526116578349,
82013500-01,Echo Lake,2012,0.08471428571428573,7,1.67,3,1730.0915593705292,1730.0915593705292,0.9791416309012844,0.9791416309012844,626857.5107296137,626857.5107296137,0.0,0.0,1.0,1.0
82039900-01,Beutel Pond,2010,0.104,3,0.91,3,1210.3784403669724,1210.3784403669724,3.0299082568807316,3.0299082568807316,303762.38532110094,303762.38532110094,0.0,0.0,1.0,1.0
70002600-01,Lower Prior Lake,2004,0.023999999999999997,12,2.6833333333333336,12,1184.089207048458,1184.089207048458,0.5902092511013203,0.5902092511013203,258341.68502202645,258341.68502202645,0.0,0.0,,
82001100-01,Bay Pond,2013,0.185,7,0.9557142857142857,7,1519.343949044586,1519.343949044586,6.472866242038216,6.472866242038216,311389.49044585985,311389.49044585985,0.0,0.0,1.0,1.0
82005204-01,Big Marine Lake,2007,0.02157142857142857,7,3.309285714285714,7,0.0,0.0,0.0,0.0,325581.4977973568,325581.4977973568,0.0,0.0,,
27007800-01,Staring Lake,2004,0.11957692307692308,26,0.5307692307692308,13,0.0,0.0,0.0,0.0,294850.06587615283,294850.06587615283,4233.176021080369,4233.176021080369,,
19002300-01,Farquar Lake,2013,0.11253846153846153,13,0.72,13,2799.5681465383423,2799.5681465383423,0.8495870847562852,0.8495870847562852,297242.6265135051,297242.6265135051,3784.013660353927,3784.013660353927,,
82000200-01,O'Connors Lake,2007,0.04691666666666667,12,0.5708333333333334,12,0.0,0.0,0.0,0.0,626501.9704433498,626501.9704433498,0.0,0.0,,
